Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1665","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","514","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","63","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","2110","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","20","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","284","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","286","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1514","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","842","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","646","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1492","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","40","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","277","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","318","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","540","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","744","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","47","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1259","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","2162","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","207","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1962","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","11","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","35","I","Valeur imputée"
