Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","2066","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","39","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","294","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1474","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","257","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1446","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1924","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","33","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1220","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","159","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","115","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","19","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","259","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","261","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","142","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","170","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","469","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","62","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","9478","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","159","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","46","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","108","Burundi","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","116","Cambodge","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","120","Cameroun","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","85","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","124","Canada","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1404","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","152","Chili","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","736","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","159","Chine","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","20380","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","344","Chine - RAS de Hong-Kong","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","286","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","446","Chine - RAS de Macao","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","21","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","156","Chine, continentale","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","19275","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","158","Chine, Taiwan Province de","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","798","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","196","Chypre","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","170","Colombie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1558","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","174","Comores","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","178","Congo","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","74","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","188","Costa Rica","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","128","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","384","Côte d'Ivoire","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","50","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","191","Croatie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","40","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","273","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","149","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","262","Djibouti","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","212","Dominique","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1247","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","222","El Salvador","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","149","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","784","Émirats arabes unis","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","281","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","218","Équateur","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","339","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","724","Espagne","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","1396","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","233","Estonie","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","748","Eswatini","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","840","États-Unis d'Amérique","5142","Nourriture","S2734","Viande de Volailles","2016","2016","Milliers de tonnes","17945","I","Valeur imputée"
