Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","496.940553","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.636658","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6001.389576","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-4.526818","E","Valeur estimée",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","5345.602513","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","1.608539","E","Valeur estimée",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3975.519002","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-2.426783","E","Valeur estimée",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","46557.284069","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-2.236766","E","Valeur estimée",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","40900.53859","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-1.965875","E","Valeur estimée",""
"MK","Indicateurs macro","024","Angola","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","2809.626403","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-11.776659","E","Valeur estimée",""
"MK","Indicateurs macro","660","Anguilla","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","25336.581453","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","16.83149","E","Valeur estimée",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","17376.112907","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","5.08043","E","Valeur estimée",""
"MK","Indicateurs macro","682","Arabie saoudite","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","23139.798657","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","0.819424","E","Valeur estimée",""
"MK","Indicateurs macro","032","Argentine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","9947.264856","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-13.944717","E","Valeur estimée",""
"MK","Indicateurs macro","051","Arménie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","4604.641377","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","9.322165","E","Valeur estimée",""
"MK","Indicateurs macro","533","Aruba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","31136.110954","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.373146","E","Valeur estimée",""
"MK","Indicateurs macro","036","Australie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","54763.202388","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","036","Australie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-5.397355","E","Valeur estimée",""
"MK","Indicateurs macro","040","Autriche","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","49693.668783","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","040","Autriche","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-2.231325","E","Valeur estimée",""
"MK","Indicateurs macro","031","Azerbaïdjan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","4794.54492","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","031","Azerbaïdjan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.253662","E","Valeur estimée",""
"MK","Indicateurs macro","044","Bahamas","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","33799.839641","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","044","Bahamas","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.543882","E","Valeur estimée",""
"MK","Indicateurs macro","048","Bahreïn","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","23442.830854","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","048","Bahreïn","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","2.176909","E","Valeur estimée",""
"MK","Indicateurs macro","050","Bangladesh","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1846.416377","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","050","Bangladesh","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","11.654402","E","Valeur estimée",""
"MK","Indicateurs macro","052","Barbade","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","18458.148245","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","052","Barbade","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.41701","E","Valeur estimée",""
"MK","Indicateurs macro","112","Bélarus","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6814.152439","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","112","Bélarus","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","7.294783","E","Valeur estimée",""
"MK","Indicateurs macro","056","Belgique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","46388.205209","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","056","Belgique","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-1.469808","E","Valeur estimée",""
"MK","Indicateurs macro","084","Belize","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","4983.310582","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","084","Belize","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.061514","E","Valeur estimée",""
"MK","Indicateurs macro","204","Bénin","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1219.515479","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","204","Bénin","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","0.906426","E","Valeur estimée",""
"MK","Indicateurs macro","060","Bermudes","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","119734.313506","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","060","Bermudes","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.595975","E","Valeur estimée",""
"MK","Indicateurs macro","064","Bhoutan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3316.191236","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","064","Bhoutan","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.420351","E","Valeur estimée",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3552.06876","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","1.508341","E","Valeur estimée",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6120.156351","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","0.093877","E","Valeur estimée",""
"MK","Indicateurs macro","072","Botswana","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","7970.842173","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","072","Botswana","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-1.612127","E","Valeur estimée",""
"MK","Indicateurs macro","076","Brésil","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","8936.360101","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","076","Brésil","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-1.612948","E","Valeur estimée",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","31086.329196","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-0.719933","E","Valeur estimée",""
"MK","Indicateurs macro","100","Bulgarie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","9844.65467","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","100","Bulgarie","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","3.845581","E","Valeur estimée",""
"MK","Indicateurs macro","854","Burkina Faso","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","786.895614","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","854","Burkina Faso","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","-0.430319","E","Valeur estimée",""
"MK","Indicateurs macro","108","Burundi","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","292.139142","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","108","Burundi","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","1.543848","E","Valeur estimée",""
"MK","Indicateurs macro","132","Cabo Verde","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3603.782576","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","132","Cabo Verde","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2019","2019","%","0.7803","E","Valeur estimée",""
"MK","Indicateurs macro","116","Cambodge","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","1643.641451","X","Ciffre de sources internationales",""
